N    Language        ISO-639 code    Text
112  Swahili         sw              Kazi inafanya kazi
113  Swedish         sv              Jobbet fungerar
114  Tajik           tg              Кор кор мекунад
115  Tamil           ta              வேலை வேலை செய்கிறது
116  Tatar           tt              Эш эшли
117  Telugu          te              ఉద్యోగం పని చేస్తోంది
118  Thai            th              งานกำลังทำงาน
119  Tigrinya        ti              እቲ ስራሕ ይሰርሕ ኣሎ።
120  Tsonga          ts              Ntirho wa tirha
121  Turkish         tr              İş çalışıyor
122  Turkmen         tk              Iş işleýär
123  Twi             ak              Adwuma no reyɛ adwuma
124  Ukrainian       uk              Робота працює
125  Urdu            ur              کام کام کر رہا ہے۔
126  Uyghur          ug              خىزمەت ئىشلەۋاتىدۇ
127  Uzbek           uz              Ish ishlayapti
128  Vietnamese      vi              Công việc đang hoạt động
129  Welsh           cy              Mae'r swydd yn gweithio
130  Xhosa           xh              Umsebenzi uyasebenza
131  Yiddish         yi              די אַרבעט איז ארבעטן
132  Yoruba          yo              Iṣẹ naa n ṣiṣẹ
133  Zulu            zu              Umsebenzi uyasebenza
Ok
